Date,Price,Open,High,Low,Vol.,Target
2020-05-11,1.19,1.16,1.2,1.16,15.96M,1
2020-05-08,1.16,1.16,1.19,1.15,20.36M,0
2020-05-07,1.15,1.15,1.17,1.13,13.14M,0
2020-05-06,1.15,1.17,1.19,1.14,15.42M,-1
2020-05-05,1.16,1.22,1.23,1.16,17.52M,-1
2020-05-04,1.2,1.15,1.24,1.12,43.19M,1
2020-04-30,1.18,1.22,1.25,1.16,48.16M,-1
2020-04-29,1.21,1.21,1.28,1.19,72.19M,0
2020-04-28,1.2,1.12,1.22,1.1,85.66M,1
2020-04-27,1.11,1.07,1.11,1.06,32.33M,1
2020-04-24,1.06,1.1,1.13,1.06,41.41M,-1
2020-04-22,1.08,1.13,1.13,1.05,22.19M,-1
2020-04-21,1.1,1.07,1.14,1.05,49.18M,1
2020-04-20,1.07,1.01,1.07,1.01,34.06M,1
2020-04-17,0.98,0.94,1.0,0.93,31.96M,1
2020-04-16,0.92,0.93,0.94,0.9,10.70M,-1
2020-04-15,0.92,0.95,0.96,0.89,16.16M,-1
2020-04-14,0.95,0.93,0.95,0.93,15.68M,1
2020-04-13,0.92,0.9,0.94,0.89,17.54M,1
2020-04-10,0.91,0.92,0.93,0.9,14.11M,-1
2020-04-09,0.92,0.91,0.92,0.89,11.34M,1
2020-04-08,0.9,0.9,0.91,0.87,11.52M,0
2020-04-07,0.9,0.92,0.94,0.89,17.40M,-1
2020-04-06,0.91,0.88,0.91,0.86,22.71M,1
2020-04-03,0.86,0.84,0.88,0.83,16.34M,1
2020-04-02,0.84,0.85,0.86,0.82,13.88M,-1
2020-04-01,0.84,0.8,0.88,0.78,18.26M,1
2020-03-31,0.82,0.78,0.82,0.75,20.12M,1
2020-03-30,0.75,0.74,0.76,0.72,7.79M,1
2020-03-27,0.74,0.77,0.78,0.73,12.89M,-1
2020-03-26,0.76,0.73,0.77,0.72,14.06M,1
2020-03-25,0.73,0.75,0.77,0.72,11.86M,-1
2020-03-24,0.74,0.71,0.74,0.7,7.94M,1
2020-03-23,0.69,0.69,0.71,0.68,7.32M,0
2020-03-20,0.72,0.74,0.75,0.71,7.14M,-1
2020-03-19,0.72,0.73,0.75,0.71,9.70M,-1
2020-03-18,0.74,0.72,0.78,0.71,10.90M,1
2020-03-17,0.74,0.77,0.8,0.7,8.48M,-1
2020-03-16,0.77,0.81,0.83,0.76,5.56M,-1
2020-03-13,0.84,0.79,0.86,0.76,10.42M,1
2020-03-12,0.79,0.92,0.92,0.77,8.29M,-1
2020-03-11,0.96,0.99,1.03,0.92,11.67M,-1
2020-03-10,0.99,1.14,1.17,0.99,14.08M,-1
2020-03-09,1.1,1.19,1.2,1.08,8.42M,-1
2020-03-06,1.24,1.27,1.29,1.22,6.56M,-1
2020-03-05,1.27,1.3,1.33,1.23,9.45M,-1
2020-03-04,1.29,1.31,1.35,1.28,10.37M,-1
2020-03-03,1.31,1.29,1.34,1.28,12.24M,1
2020-03-02,1.27,1.25,1.29,1.21,6.62M,1
2020-02-28,1.21,1.05,1.26,1.05,9.60M,1
2020-02-27,1.31,1.42,1.43,1.31,9.01M,-1
2020-02-26,1.43,1.42,1.45,1.4,10.62M,1
2020-02-25,1.43,1.46,1.47,1.4,11.61M,-1
2020-02-24,1.44,1.4,1.45,1.38,10.77M,1
2020-02-21,1.44,1.39,1.46,1.37,15.08M,1
2020-02-20,1.41,1.53,1.55,1.38,26.71M,-1
2020-02-19,1.52,1.53,1.57,1.49,23.52M,-1
2020-02-18,1.52,1.57,1.57,1.5,33.51M,-1
2020-02-17,1.6,1.53,1.63,1.52,40.77M,1
2020-02-14,1.53,1.55,1.58,1.51,14.44M,-1
2020-02-13,1.54,1.5,1.56,1.49,18.06M,1
2020-02-12,1.49,1.49,1.51,1.45,15.64M,0
2020-02-11,1.48,1.48,1.49,1.44,15.70M,0
2020-02-10,1.46,1.52,1.55,1.4,24.30M,-1
2020-02-07,1.52,1.51,1.61,1.51,64.47M,1
2020-02-06,1.51,1.54,1.54,1.5,8.20M,-1
2020-02-05,1.52,1.54,1.55,1.51,12.28M,-1
2020-02-04,1.53,1.5,1.56,1.49,20.89M,1
2020-02-03,1.48,1.48,1.51,1.46,17.00M,0
2020-01-31,1.47,1.49,1.49,1.46,9.45M,-1
2020-01-30,1.48,1.52,1.54,1.47,17.00M,-1
2020-01-29,1.52,1.54,1.57,1.51,26.15M,-1
2020-01-28,1.52,1.55,1.56,1.5,20.72M,-1
2020-01-27,1.53,1.52,1.62,1.51,38.51M,1
2020-01-24,1.53,1.54,1.56,1.51,30.76M,-1
2020-01-23,1.52,1.51,1.57,1.5,46.68M,1
2020-01-22,1.5,1.49,1.52,1.45,45.28M,1
2020-01-21,1.48,1.43,1.51,1.41,36.93M,1
2020-01-20,1.44,1.41,1.45,1.41,16.38M,1
2020-01-17,1.4,1.43,1.44,1.39,13.52M,-1
2020-01-16,1.42,1.43,1.47,1.41,25.36M,-1
2020-01-15,1.43,1.44,1.46,1.4,18.92M,-1
2020-01-14,1.44,1.45,1.48,1.39,26.18M,-1
2020-01-13,1.44,1.44,1.48,1.44,26.72M,0
2020-01-10,1.42,1.38,1.48,1.37,71.60M,1
2020-01-09,1.37,1.34,1.39,1.33,43.32M,1
2020-01-08,1.3,1.28,1.34,1.26,22.62M,1
2020-01-07,1.32,1.32,1.36,1.32,17.19M,0
2020-01-06,1.31,1.34,1.36,1.29,18.09M,-1
2020-01-03,1.36,1.36,1.42,1.28,119.04M,0
2020-01-02,1.35,1.32,1.37,1.32,19.62M,1
2019-12-31,1.31,1.34,1.35,1.31,10.41M,-1
2019-12-30,1.33,1.32,1.35,1.32,14.57M,1
2019-12-27,1.31,1.31,1.35,1.3,25.65M,0
2019-12-26,1.3,1.3,1.32,1.29,13.07M,0
2019-12-25,1.3,1.3,1.32,1.29,9.66M,0
2019-12-24,1.3,1.32,1.33,1.3,10.49M,-1
2019-12-23,1.31,1.3,1.33,1.28,12.28M,1
2019-12-20,1.29,1.31,1.33,1.28,10.33M,-1
2019-12-19,1.3,1.32,1.33,1.3,11.47M,-1
2019-12-18,1.31,1.33,1.34,1.31,7.48M,-1
2019-12-17,1.34,1.34,1.39,1.33,25.59M,0
2019-12-16,1.33,1.31,1.36,1.31,21.97M,1
2019-12-13,1.3,1.33,1.42,1.3,64.34M,-1
2019-12-12,1.32,1.3,1.34,1.29,14.91M,1
2019-12-11,1.28,1.31,1.32,1.26,6.31M,-1
2019-12-10,1.31,1.33,1.36,1.3,12.60M,-1
2019-12-09,1.32,1.29,1.36,1.29,27.75M,1
2019-12-06,1.29,1.34,1.35,1.29,10.59M,-1
2019-12-05,1.33,1.35,1.4,1.33,28.91M,-1
2019-12-04,1.34,1.35,1.37,1.33,15.80M,-1
2019-12-03,1.33,1.32,1.42,1.3,58.29M,1
2019-12-02,1.32,1.37,1.39,1.32,46.17M,-1
2019-11-29,1.36,1.19,1.37,1.16,135.35M,1
2019-11-28,1.18,1.19,1.21,1.17,13.00M,-1
2019-11-27,1.17,1.14,1.19,1.14,20.34M,1
2019-11-26,1.14,1.14,1.16,1.11,9.25M,0
2019-11-25,1.13,1.18,1.19,1.13,11.70M,-1
2019-11-22,1.16,1.2,1.22,1.16,19.79M,-1
2019-11-21,1.18,1.1,1.19,1.1,29.35M,1
2019-11-20,1.1,1.1,1.15,1.09,19.56M,0
2019-11-19,1.09,1.14,1.15,1.09,12.08M,-1
2019-11-18,1.13,1.1,1.2,1.09,58.36M,1
2019-11-15,1.09,1.09,1.12,1.07,13.52M,0
2019-11-14,1.08,1.04,1.11,1.03,27.52M,1
2019-11-13,1.04,1.04,1.05,1.03,6.90M,0
2019-11-12,1.03,1.03,1.06,1.03,12.74M,0
2019-11-11,1.02,1.0,1.03,0.98,9.29M,1
2019-11-08,0.99,1.01,1.01,0.99,3.01M,-1
2019-11-07,1.01,0.99,1.01,0.98,10.25M,1
2019-11-06,0.98,0.99,0.99,0.98,1.75M,-1
2019-11-05,0.99,0.99,0.99,0.98,1.04M,0
2019-11-04,0.99,0.98,1.0,0.97,4.57M,1
2019-11-01,0.97,0.99,1.0,0.96,2.56M,-1
2019-10-31,0.99,0.99,1.01,0.98,4.41M,0
2019-10-30,0.99,1.0,1.0,0.99,1.62M,-1
2019-10-28,1.01,1.01,1.02,1.0,1.01M,0
2019-10-25,1.01,1.02,1.03,1.0,4.16M,-1
2019-10-24,1.01,1.02,1.03,1.0,6.35M,-1
2019-10-23,1.01,1.02,1.03,1.0,3.34M,-1
2019-10-22,1.0,1.0,1.02,0.99,6.32M,0
2019-10-21,1.0,0.98,1.01,0.97,5.32M,1
2019-10-18,0.98,0.98,0.99,0.97,3.07M,0
2019-10-17,0.96,0.97,0.98,0.95,1.77M,-1
2019-10-16,0.97,0.97,0.98,0.96,1.28M,0
2019-10-15,0.98,0.97,0.98,0.95,2.61M,1
2019-10-14,0.95,0.99,1.0,0.94,3.87M,-1
2019-10-11,0.99,0.96,1.03,0.96,17.95M,1
2019-10-10,0.96,0.98,0.99,0.95,2.79M,-1
2019-10-09,0.97,1.0,1.01,0.97,3.13M,-1
2019-10-08,1.0,1.0,1.02,0.98,5.15M,0
2019-10-07,1.01,1.0,1.04,0.99,8.42M,1
2019-10-04,1.02,1.02,1.02,1.0,2.44M,0
2019-10-03,1.01,1.03,1.04,1.01,4.48M,-1
2019-10-02,1.02,1.02,1.03,1.01,3.81M,0
2019-10-01,1.02,1.03,1.06,1.01,21.94M,-1
2019-09-30,1.03,1.03,1.05,1.02,6.66M,0
2019-09-27,1.03,1.01,1.04,1.01,7.28M,1
2019-09-26,1.01,1.02,1.03,1.01,1.10M,-1
2019-09-25,1.02,1.02,1.03,1.01,2.65M,0
2019-09-24,1.02,1.04,1.05,1.02,3.45M,-1
2019-09-23,1.03,1.03,1.05,1.02,3.65M,0
2019-09-20,1.03,1.04,1.04,1.02,2.79M,-1
2019-09-19,1.04,1.06,1.07,1.03,4.74M,-1
2019-09-18,1.05,1.03,1.06,1.02,7.82M,1
2019-09-17,1.03,1.04,1.05,1.02,3.74M,-1
2019-09-16,1.03,1.03,1.05,1.03,1.92M,0
2019-09-13,1.04,1.04,1.06,1.02,3.12M,0
2019-09-12,1.03,1.06,1.07,1.02,5.69M,-1
2019-09-11,1.08,1.05,1.09,1.04,9.75M,1
2019-09-10,1.04,1.03,1.06,1.02,6.06M,1
2019-09-09,1.02,1.0,1.04,1.0,8.83M,1
2019-09-06,0.99,1.01,1.01,0.98,2.22M,-1
2019-09-05,1.0,1.0,1.03,1.0,3.98M,0
2019-09-04,1.0,0.99,1.02,0.98,5.65M,1
2019-09-03,0.98,0.97,1.0,0.97,4.19M,1
2019-09-02,0.98,0.97,0.99,0.96,2.29M,1
2019-08-29,0.96,0.96,0.97,0.95,894.91K,0
2019-08-28,0.96,0.96,0.97,0.95,1.44M,0
2019-08-27,0.96,0.98,0.99,0.96,2.89M,-1
2019-08-26,0.98,0.97,1.03,0.95,7.31M,1
2019-08-23,0.98,0.97,0.98,0.96,2.16M,1
2019-08-22,0.97,0.97,0.98,0.95,1.48M,0
2019-08-21,0.97,0.99,1.0,0.96,2.54M,-1
2019-08-20,0.99,0.98,1.0,0.98,1.97M,1
2019-08-19,0.97,0.98,1.01,0.96,3.41M,-1
2019-08-16,0.97,1.02,1.03,0.97,5.04M,-1
2019-08-15,1.01,1.0,1.03,0.99,3.90M,1
2019-08-09,1.03,1.06,1.06,1.02,2.18M,-1
2019-08-08,1.04,1.02,1.04,0.99,6.43M,1
2019-08-07,1.01,0.99,1.03,0.96,14.94M,1
2019-08-06,0.98,0.94,0.98,0.94,2.53M,1
2019-08-05,0.95,0.93,0.96,0.93,1.16M,1
2019-08-02,0.94,0.94,0.95,0.93,1.63M,0
2019-08-01,0.94,0.96,0.96,0.94,1.73M,-1
2019-07-31,0.96,0.97,0.99,0.95,3.38M,-1
2019-07-30,0.96,0.95,0.98,0.94,7.77M,1
2019-07-29,0.95,0.96,0.99,0.94,5.48M,-1
2019-07-26,0.96,0.91,0.98,0.91,10.54M,1
2019-07-25,0.91,0.92,0.93,0.9,1.71M,-1
2019-07-24,0.93,0.93,0.93,0.91,751.36K,0
2019-07-23,0.92,0.92,0.93,0.91,768.01K,0
2019-07-22,0.92,0.93,0.94,0.92,1.57M,-1
2019-07-19,0.93,0.94,0.96,0.92,5.34M,-1
2019-07-18,0.94,0.93,0.95,0.92,3.59M,1
2019-07-17,0.93,0.92,0.94,0.91,4.93M,1
2019-07-16,0.92,0.92,0.93,0.91,1.00M,0
2019-07-12,0.91,0.92,0.93,0.9,2.27M,-1
2019-07-11,0.91,0.92,0.93,0.9,1.42M,-1
2019-07-10,0.92,0.91,0.92,0.89,2.43M,1
2019-07-09,0.91,0.94,0.95,0.9,2.89M,-1
2019-07-08,0.93,0.93,0.96,0.93,2.31M,0
2019-07-05,0.94,0.96,0.97,0.93,2.68M,-1
2019-07-04,0.95,0.94,0.97,0.93,7.82M,1
2019-07-03,0.95,0.94,1.01,0.93,35.92M,1
2019-07-02,0.93,0.94,0.95,0.92,5.69M,-1
2019-07-01,0.94,0.93,0.97,0.91,10.52M,1
2019-06-28,0.92,0.92,0.93,0.91,871.16K,0
2019-06-27,0.92,0.93,0.94,0.91,2.98M,-1
2019-06-26,0.93,0.92,0.93,0.91,900.13K,1
2019-06-25,0.92,0.92,0.93,0.91,1.26M,0
2019-06-24,0.92,0.93,0.94,0.91,3.48M,-1
2019-06-21,0.91,0.92,0.94,0.91,3.42M,-1
2019-06-20,0.92,0.94,0.95,0.91,7.39M,-1
2019-06-19,0.93,0.97,1.01,0.93,10.85M,-1
2019-06-18,0.97,0.95,0.98,0.92,9.32M,1
2019-06-17,0.95,0.91,0.96,0.87,10.94M,1
2019-06-14,0.9,0.95,0.96,0.9,27.56M,-1
2019-06-13,0.97,0.88,1.0,0.87,23.22M,1
2019-06-12,0.87,0.85,0.89,0.85,1.88M,1
2019-06-11,0.85,0.86,0.88,0.85,1.44M,-1
2019-06-10,0.86,0.85,0.87,0.84,2.04M,1
2019-06-07,0.85,0.83,0.85,0.82,1.55M,1
2019-06-03,0.82,0.83,0.83,0.81,306.62K,-1
2019-05-31,0.83,0.82,0.83,0.81,1.61M,1
