Date,Price,Open,High,Low,Vol.,Target
2018-10-25,0.99,0.98,1.01,0.97,1.62M,1
2018-10-24,0.98,0.99,0.99,0.97,511.39K,-1
2018-10-23,0.98,1.0,1.0,0.97,871.00K,-1
2018-10-22,0.99,1.01,1.03,0.99,1.06M,-1
2018-10-19,1.01,1.02,1.03,1.01,602.09K,-1
2018-10-18,1.02,1.03,1.05,1.02,1.76M,-1
2018-10-17,1.03,1.05,1.05,1.03,838.49K,-1
2018-10-16,1.05,1.07,1.07,1.03,1.45M,-1
2018-10-15,1.07,1.04,1.07,1.03,1.38M,1
2018-10-12,1.03,1.03,1.03,0.99,1.48M,0
2018-10-11,1.02,1.04,1.05,1.0,1.89M,-1
2018-10-10,1.05,1.1,1.1,1.05,1.93M,-1
2018-10-09,1.09,1.09,1.1,1.08,2.33M,0
2018-10-08,1.09,1.11,1.11,1.08,1.50M,-1
2018-10-05,1.11,1.12,1.12,1.07,1.86M,-1
2018-10-04,1.11,1.14,1.14,1.11,1.08M,-1
2018-10-03,1.14,1.15,1.16,1.14,966.00K,-1
2018-10-02,1.15,1.17,1.17,1.15,629.80K,-1
2018-10-01,1.16,1.17,1.17,1.15,2.08M,-1
2018-09-28,1.16,1.17,1.19,1.16,947.86K,-1
2018-09-27,1.16,1.17,1.17,1.16,1.30M,-1
2018-09-26,1.16,1.18,1.19,1.16,1.39M,-1
2018-09-25,1.18,1.18,1.2,1.17,2.84M,0
2018-09-24,1.18,1.19,1.19,1.17,1.87M,-1
2018-09-21,1.19,1.19,1.19,1.17,1.90M,0
2018-09-20,1.18,1.19,1.21,1.17,3.39M,-1
2018-09-19,1.18,1.18,1.22,1.17,10.67M,0
2018-09-18,1.18,1.15,1.19,1.14,7.35M,1
2018-09-17,1.15,1.18,1.18,1.13,3.25M,-1
2018-09-14,1.17,1.19,1.2,1.16,3.62M,-1
2018-09-13,1.17,1.14,1.17,1.12,1.61M,1
2018-09-12,1.14,1.16,1.17,1.13,2.11M,-1
2018-09-11,1.15,1.15,1.2,1.14,5.44M,0
2018-09-10,1.14,1.15,1.17,1.13,2.34M,-1
2018-09-07,1.15,1.15,1.16,1.13,1.64M,0
2018-09-06,1.15,1.17,1.18,1.15,2.16M,-1
2018-09-05,1.17,1.18,1.2,1.16,6.34M,-1
2018-09-04,1.18,1.2,1.2,1.16,2.55M,-1
2018-09-03,1.19,1.21,1.23,1.18,4.87M,-1
2018-08-31,1.2,1.17,1.23,1.17,6.55M,1
2018-08-29,1.17,1.22,1.22,1.16,4.09M,-1
2018-08-28,1.22,1.23,1.25,1.2,3.75M,-1
2018-08-27,1.23,1.16,1.23,1.13,4.30M,1
