Date,XAU_Close,XAU_Open,XAU_High,XAU_Low,XAU_HighestOfYear,XAU_LowestOfYear,XAU_Change,DXY_Close,DXY_Open,DXY_High,DXY_Low,DXY_HighestOfYear,DXY_LowestOfYear,DXY_Change
2020-06-16,1727.46,1725.55,1733.12,1716.43,1906.54,1501.05,1,96.96,96.56,97.25,96.43,102.99,92.93,1
2020-06-15,1725.53,1732.32,1734.53,1704.31,1906.54,1501.05,-1,96.71,97.09,97.39,96.6,102.99,92.93,-1
2020-06-12,1730.8,1728.34,1743.16,1722.57,1906.54,1501.05,1,97.32,96.81,97.45,96.49,102.99,92.93,1
2020-06-11,1727.51,1737.01,1744.92,1721.58,1906.54,1501.05,-1,96.73,96.09,96.83,95.95,102.99,92.93,1
2020-06-10,1737.1,1714.8,1740.06,1708.47,1906.54,1501.05,1,95.96,96.43,96.46,95.72,102.99,92.93,-1
2020-06-09,1714.57,1700.49,1721.04,1692.2,1906.54,1501.05,1,96.32,96.63,97.06,96.23,102.99,92.93,-1
2020-06-08,1697.96,1684.65,1700.9,1677.52,1906.54,1501.05,1,96.62,96.84,97.07,96.6,102.99,92.93,-1
2020-06-05,1685.83,1711.81,1717.25,1670.74,1906.54,1501.05,-1,96.94,96.74,97.03,96.44,102.99,92.93,1
2020-06-04,1711.83,1699.89,1721.62,1696.9,1906.54,1501.05,1,96.68,97.32,97.63,96.57,102.99,92.93,-1
2020-06-03,1698.64,1728.1,1733.8,1689.54,1906.54,1501.05,-1,97.28,97.57,97.63,97.18,102.99,92.93,-1
2020-06-02,1727.96,1740.34,1745.26,1721.4,1906.54,1501.05,-1,97.67,97.84,97.91,97.43,102.99,92.93,-1
2020-06-01,1740.33,1738.05,1744.84,1727.26,1906.54,1501.05,1,97.83,98.3,98.32,97.79,102.99,92.93,-1
2020-05-29,1728.3,1721.7,1737.71,1712.53,1906.54,1501.05,1,98.34,98.51,98.55,97.94,102.99,92.93,-1
2020-05-28,1719.4,1709.04,1727.52,1707.11,1906.54,1501.05,1,98.38,98.91,99.09,98.35,102.99,92.93,-1
2020-05-27,1709.26,1712.47,1716.37,1693.82,1906.54,1501.05,-1,99.06,99.02,99.34,98.72,102.99,92.93,1
2020-05-26,1712.45,1728.82,1736.07,1708.3,1906.54,1501.05,-1,98.91,99.76,99.77,98.9,102.99,92.93,-1
2020-05-25,1729.57,1734.61,1736.01,1721.45,1906.54,1501.05,-1,99.86,99.79,99.97,99.69,102.99,92.93,1
2020-05-22,1736.07,1725.26,1740.07,1723.62,1906.54,1501.05,1,99.86,99.42,99.87,99.39,102.99,92.93,1
2020-05-21,1726.33,1749.52,1751.01,1717.1,1906.54,1501.05,-1,99.37,99.18,99.51,99.02,102.99,92.93,1
2020-05-20,1749.5,1745.92,1754.77,1741.89,1906.54,1501.05,1,99.12,99.55,99.56,99.0,102.99,92.93,-1
2020-05-19,1745.11,1732.31,1748.76,1725.66,1906.54,1501.05,1,99.37,99.62,99.73,99.23,102.99,92.93,-1
2020-05-18,1732.32,1743.01,1765.94,1727.2,1906.54,1501.05,-1,99.67,100.36,100.47,99.58,102.99,92.93,-1
2020-05-15,1743.0,1730.52,1752.13,1727.93,1906.54,1501.05,1,100.4,100.26,100.49,100.08,102.99,92.93,1
