"Date","Price","Open","High","Low","Target"
"2019-06-19","1360.27","1346.55","1362.5","1341.19","1"
"2020-05-12","1702.72","1697.04","1711.79","1693.17","1"
"2020-05-19","1745.11","1732.31","1748.76","1725.66","1"
"2019-02-26","1328.96","1327.11","1330.4","1323.44","1"
"2019-01-03","1293.99","1284.8","1295.11","1284.17","1"
"2020-04-29","1712.39","1708.3","1717.76","1697.55","1"
"2018-08-24","1205.96","1185.41","1208.83","1183.12","1"
"2020-01-17","1556.61","1552.9","1561.45","1549.36","1"
"2020-05-14","1730.65","1715.63","1737.41","1710.51","1"
"2018-11-29","1223.99","1221.13","1229.23","1220.45","1"
"2018-10-24","1234.22","1230.52","1234.24","1225.42","1"
"2019-01-14","1291.73","1287.7","1296.21","1287.45","1"
"2019-02-05","1315.02","1311.73","1317.13","1310.59","1"
"2020-05-22","1736.07","1725.26","1740.07","1723.62","1"
"2020-04-03","1618.45","1615.09","1626.07","1606.3","1"
"2018-10-11","1224.33","1194.95","1226.51","1191.1","1"
"2019-09-26","1505.8","1503.94","1512.7","1501.97","1"
"2019-05-13","1299.91","1286.71","1301.5","1281.77","1"
"2018-09-24","1198.85","1198.31","1204.44","1194.21","1"
"2019-10-24","1503.65","1492.15","1504.27","1488.02","1"
"2020-02-06","1566.85","1556.95","1568.55","1552.46","1"
"2018-10-26","1233.58","1232.25","1243.63","1229.78","1"
"2019-09-19","1499.2","1494.0","1504.35","1488.9","1"
"2020-07-02","1776.14","1769.6","1779.83","1757.68","1"
"2019-10-22","1488.05","1484.52","1489.29","1480.87","1"
"2020-03-05","1670.61","1635.91","1674.69","1635.07","1"
"2019-04-18","1275.4","1273.49","1277.97","1271.07","1"
"2018-10-18","1225.75","1222.02","1230.51","1218.44","1"
"2019-11-01","1513.95","1513.32","1515.81","1503.31","1"
"2018-08-21","1196.13","1190.61","1197.13","1187.47","1"
"2019-11-14","1471.2","1463.18","1474.62","1460.93","1"
"2019-12-10","1464.21","1461.93","1469.36","1459.8","1"
"2018-11-28","1221.11","1214.64","1226.55","1210.99","1"
"2019-06-07","1340.7","1335.45","1348.45","1330.08","1"
"2020-05-28","1719.4","1709.04","1727.52","1707.11","1"
"2019-08-12","1511.41","1497.65","1517.95","1487.91","1"
"2019-12-13","1475.81","1469.47","1478.22","1462.48","1"
"2018-11-01","1233.23","1215.24","1237.74","1214.69","1"
"2018-09-12","1206.19","1198.65","1208.85","1192.51","1"
"2020-01-20","1561.58","1558.65","1563.0","1556.39","1"
"2020-02-18","1601.92","1583.44","1605.45","1583.09","1"
"2020-02-24","1660.72","1659.05","1689.11","1652.37","1"
"2018-12-18","1249.38","1246.02","1250.63","1244.79","1"
"2018-08-31","1201.09","1200.58","1209.17","1198.42","1"
"2018-09-06","1200.15","1197.23","1207.37","1195.61","1"
"2018-11-22","1227.45","1226.02","1229.45","1224.81","1"
"2020-01-03","1551.65","1528.95","1553.7","1528.0","1"
"2019-04-04","1292.38","1290.1","1294.55","1280.91","1"
"2020-02-21","1643.7","1619.69","1649.15","1618.94","1"
"2019-07-29","1426.94","1419.49","1428.46","1416.98","1"
"2018-07-27","1223.38","1222.99","1227.51","1217.3","1"
"2019-02-22","1327.8","1323.51","1333.41","1321.39","1"
"2018-12-24","1269.13","1258.65","1270.13","1257.96","1"
"2019-06-20","1388.18","1360.34","1393.3","1357.66","1"
"2018-11-19","1224.05","1222.34","1225.51","1217.82","1"
"2019-06-25","1423.25","1419.17","1438.99","1412.3","1"
"2020-02-19","1611.64","1601.85","1613.04","1599.53","1"
"2018-08-07","1211.02","1207.54","1216.51","1207.54","1"
"2020-03-06","1674.23","1670.58","1692.1","1648.12","1"
"2019-06-06","1335.55","1331.99","1340.09","1327.26","1"
"2019-03-19","1306.55","1303.6","1311.19","1302.5","1"
"2019-06-13","1342.35","1334.0","1343.41","1332.22","1"
"2020-01-23","1563.32","1558.93","1568.17","1551.68","1"
"2019-12-31","1517.4","1515.22","1525.45","1514.66","1"
"2020-02-26","1639.96","1635.37","1655.09","1625.79","1"
"2018-08-29","1206.66","1201.31","1207.63","1200.89","1"
"2020-03-23","1553.81","1508.15","1561.48","1485.1","1"
"2019-11-19","1472.38","1470.85","1475.72","1464.6","1"
"2020-04-06","1663.0","1597.5","1669.97","1597.5","1"
"2019-10-30","1495.4","1487.6","1496.91","1481.21","1"
"2018-09-25","1201.31","1198.84","1203.51","1197.01","1"
"2018-10-23","1230.48","1222.15","1239.94","1221.65","1"
"2018-12-28","1280.75","1275.23","1282.34","1274.19","1"
"2020-05-15","1743.0","1730.52","1752.13","1727.93","1"
"2020-04-02","1613.79","1590.52","1621.15","1579.04","1"
"2018-07-12","1247.15","1242.14","1248.93","1241.23","1"
"2019-10-23","1492.1","1488.35","1496.5","1487.62","1"
"2018-08-17","1184.77","1173.73","1185.34","1171.82","1"
"2020-06-22","1755.44","1748.78","1763.42","1743.27","1"
"2020-03-03","1639.77","1590.77","1649.55","1587.86","1"
"2020-02-20","1619.7","1611.71","1623.79","1603.98","1"
"2018-11-13","1202.34","1200.65","1205.57","1196.19","1"
"2019-05-31","1305.65","1288.35","1307.11","1288.0","1"
"2019-03-15","1301.38","1296.15","1306.79","1293.82","1"
"2020-06-04","1711.83","1699.89","1721.62","1696.9","1"
"2020-07-08","1810.78","1795.27","1818.13","1791.62","1"
"2018-12-04","1238.55","1231.03","1242.22","1230.34","1"
"2019-03-08","1298.4","1285.78","1300.85","1285.18","1"
"2020-06-30","1781.67","1771.9","1786.02","1765.35","1"
"2020-05-01","1700.41","1685.95","1706.53","1670.06","1"
"2019-01-07","1288.67","1286.01","1295.42","1282.53","1"
"2019-07-10","1419.0","1397.8","1419.21","1389.88","1"
"2019-02-07","1310.09","1306.19","1312.27","1302.53","1"
"2019-08-05","1463.8","1440.65","1470.05","1437.03","1"
"2020-07-03","1775.05","1774.77","1777.43","1772.48","1"
"2019-04-09","1304.14","1297.65","1306.5","1296.57","1"
"2019-04-30","1283.6","1279.98","1286.58","1279.69","1"
"2020-02-05","1556.7","1552.56","1562.5","1547.4","1"
"2020-06-23","1767.54","1755.26","1771.25","1747.43","1"
"2019-06-04","1325.28","1325.05","1329.41","1319.9","1"
"2018-12-20","1260.15","1243.4","1266.7","1242.7","1"
"2018-12-07","1248.09","1238.0","1250.44","1237.29","1"
"2020-03-20","1498.24","1470.54","1516.25","1460.3","1"
"2019-03-25","1321.9","1313.35","1324.57","1310.97","1"
"2018-09-05","1196.75","1191.47","1198.72","1190.86","1"
"2019-05-07","1285.15","1281.1","1286.37","1278.04","1"
"2020-03-30","1623.3","1622.0","1639.61","1608.72","1"
"2020-06-16","1727.46","1725.55","1733.12","1716.43","1"
"2019-10-01","1478.98","1472.3","1487.37","1459.0","1"
"2019-03-29","1292.15","1290.59","1300.01","1286.77","1"
"2018-07-20","1231.77","1223.33","1232.94","1215.7","1"
"2019-08-01","1445.31","1411.34","1445.98","1400.65","1"
"2020-06-25","1761.81","1760.32","1769.04","1755.49","1"
"2018-10-10","1194.78","1189.66","1194.98","1185.13","1"
"2019-11-28","1458.34","1456.77","1458.57","1454.37","1"
"2019-09-23","1522.11","1516.66","1527.25","1511.5","1"
"2018-10-05","1202.85","1199.75","1206.09","1196.99","1"
"2019-08-15","1523.2","1517.05","1527.0","1508.22","1"
"2020-04-20","1694.11","1692.25","1703.46","1671.49","1"
"2019-03-13","1309.28","1302.16","1311.56","1300.61","1"
"2019-07-26","1418.69","1414.4","1424.83","1413.72","1"
"2019-07-24","1425.9","1417.55","1429.55","1416.43","1"
"2019-04-10","1308.05","1304.09","1310.96","1301.06","1"
"2018-07-31","1223.83","1221.78","1228.52","1214.48","1"
"2019-01-29","1311.93","1303.53","1312.34","1302.45","1"
"2020-01-24","1570.65","1563.3","1576.01","1556.42","1"
"2019-09-17","1503.1","1498.85","1507.48","1493.36","1"
"2019-02-08","1314.06","1310.13","1316.05","1307.53","1"
"2018-12-06","1237.99","1237.56","1244.72","1234.56","1"
"2019-09-12","1498.95","1497.5","1523.96","1488.8","1"
"2019-12-24","1499.56","1485.57","1500.77","1484.41","1"
"2019-03-05","1287.43","1286.67","1289.92","1281.1","1"
"2019-01-22","1285.04","1279.94","1285.84","1277.21","1"
"2020-06-01","1740.33","1738.05","1744.84","1727.26","1"
"2019-08-27","1542.65","1526.3","1544.78","1524.85","1"
"2019-07-02","1418.44","1383.55","1419.8","1383.55","1"
"2019-05-30","1288.85","1279.74","1289.24","1274.82","1"
"2018-10-02","1203.1","1188.86","1208.52","1188.44","1"
"2019-05-10","1286.0","1284.34","1289.6","1283.1","1"
"2019-11-29","1464.8","1455.9","1466.81","1452.93","1"
"2018-12-27","1275.22","1266.89","1279.3","1266.42","1"
"2019-07-18","1446.3","1426.8","1448.35","1414.68","1"
"2020-06-12","1730.8","1728.34","1743.16","1722.57","1"
"2019-11-12","1457.19","1455.79","1460.55","1445.61","1"
"2019-12-17","1476.45","1476.25","1480.78","1474.23","1"
"2018-12-17","1245.91","1237.6","1248.46","1235.69","1"
"2018-09-28","1192.09","1182.89","1193.95","1180.68","1"
"2019-09-02","1530.59","1520.1","1533.81","1519.15","1"
"2018-11-15","1213.0","1210.85","1216.66","1207.83","1"
"2018-08-20","1190.53","1183.74","1191.26","1182.61","1"
"2019-02-18","1326.9","1321.41","1328.05","1320.6","1"
"2018-12-03","1231.07","1223.19","1235.19","1221.22","1"
"2019-07-12","1415.74","1403.9","1417.09","1403.12","1"
"2019-07-30","1430.85","1426.84","1433.12","1422.12","1"
"2019-01-31","1320.94","1319.87","1326.65","1317.39","1"
